insult,Unnamed: 0,date,target,tweet
want illegal immigrants flooding into our Country unchecked,2,2,2,2
doing everything in their power to demean our Country,2,2,2,2
"Bad!,  so-called ‘leader’",2,2,2,2
do nothing but write bad stories even on very positive achievements,2,2,2,2
Democrat Scam,2,2,2,2
"despite the[ir] best efforts, the people are speaking loudly and clearly",2,2,2,2
went insane,2,2,2,2
criminal,2,2,2,2
wrong so often,2,2,2,2
fake ballots,2,2,2,2
fake and totally discredited,2,2,2,2
18 Angry Democrats,2,2,2,2
foolish,2,2,2,2
has never been more dishonest than it is today,2,2,2,2
want to substantially RAISE Taxes,2,2,2,2
using every trick in the book to SILENCE a majority of our Country,2,2,2,2
has completely lost control,2,2,2,2
"got fired 3 times on the Apprentice, now got fired for the last time",2,2,2,2
will Make America Weak Again!,2,2,2,2
doing poorly,2,2,2,2
has no chance,2,2,2,2
very inaccurate (to put it mildly)!,2,2,2,2
"disaster for Georgia , virtually controlled by @staceyabrams & the Democrats , Fool!",2,2,2,2
failed campaign,2,2,2,2
Animal,2,2,2,2
Animals,2,2,2,2
disastrous approval numbers,2,2,2,2
very dangerous,2,2,2,2
Don't watch CNN!,2,2,2,2
got scammed when they covered the anti-Trump Russia rally wall-to-wall,2,2,2,2
Crooked Bidens,2,2,2,2
"got it purposely wrong, as usual!",2,2,2,2
Cryin' Chuck,2,2,2,2
has done a terrible job,2,2,2,2
disgraceful behavior,2,2,2,2
disgraceful Witch Hunt,2,2,2,2
Dopey,2,2,2,2
decided to LIE in order to make a fraudulent point!,2,2,2,2
A giant Scam,2,2,2,2
very insecure,2,2,2,2
didn’t want to have me get a Vaccine WIN,2,2,2,2
doing everything possible to “inflame” the crowd,2,2,2,2
doing everything within its semi-considerable power (it used to be greater!) to inflame the CoronaVirus situation,2,2,2,2
A low level staffer that I hardly knew,2,2,2,2
dead!,2,2,2,2
fraudulent Witch Hunt,2,2,2,2
gross incompetence,2,2,2,2
A joke!,2,2,2,2
deranged & sick,2,2,2,2
has not got a very good memory!,2,2,2,2
failed lawyer,2,2,2,2
worst voting record in Senate,2,2,2,2
"working overtime to convince people that we are in, or will soon be going into, a Recession",2,2,2,2
DISHONEST,2,2,2,2
BAD JUDGEMENT,2,2,2,2
didn’t have the guts to run for POTUS,2,2,2,2
Angry Democrats,2,2,2,2
has done nothing,2,2,2,2
Angry Dems,2,2,2,2
A Rigged Election!,2,2,2,2
dummies,2,2,2,2
Bad ratings,2,2,2,2
doesn't know how to win,2,2,2,2
getting Zero work done in Congress,2,2,2,2
going Crazy!,2,2,2,2
either duped or corrupt,2,2,2,2
China Plague,2,2,2,2
cratered,2,2,2,2
wacko,2,2,2,2
Failing and Corrupt,2,2,2,2
"every story/opinion, even if should be positive, is bad!",2,2,2,2
untruthful,2,2,2,2
CRAZY,2,2,2,2
has become a joke,2,2,2,2
unfit to be president,2,2,2,2
hate our Country,2,2,2,2
unwatchable!,2,2,2,2
did a Fake Interview,2,2,2,2
zero credibility,2,2,2,2
weak on crime,2,2,2,2
unfit to serve as President,2,2,2,2
has become a joke!,2,2,2,2
hardly knows me,2,2,2,2
weak on Crime and Border security,2,2,2,2
Adam “Shifty” Schiff,2,2,2,2
even less understanding of the Wall negotiations than the folks at FAKE NEWS CNN & NBC!,2,2,2,2
will never be his father,2,2,2,2
doesn’t have a clue!,2,2,2,2
"Fake & Fraudulent stories every night, for years!!!",2,2,2,2
false reporting,2,2,2,2
A total loser!,2,2,2,2
A total disgrace!,2,2,2,2
false information not good!,2,2,2,2
FRAUD!,2,2,2,2
“Concast”,2,2,2,2
will never be able to see or understand the great promise of our Country,2,2,2,2
we are all tired [of them],2,2,2,2
had zero chance of being elected,2,2,2,2
Fake Book,2,2,2,2
fight harder against us than do the Radical Left Dems,2,2,2,2
Alfred E. Newman,2,2,2,2
#DONOTHINGDEMOCRATS,2,2,2,2
did poorly,2,2,2,2
watching their Ratings TANK,2,2,2,2
Disgraced,2,2,2,2
100% CONTROLLED,2,2,2,2
going CRAZY!,2,2,2,2
#FakeNews!,2,2,2,2
crazy!,2,2,2,2
100% NEGATIVE and FAKE!,2,2,2,2
"All talk, no action!",2,2,2,2
watered down,2,2,2,2
CRAZY!,2,2,2,2
didn't do their job,2,2,2,2
Clinton News Network,2,2,2,2
going crazy,2,2,2,2
going absolutely CRAZY,1,1,1,1
my full answer is rarely played by the Fake News Media. They purposely leave out the part that matters,1,1,1,1
got it so wrong,1,1,1,1
go out of their way to distort truth!,1,1,1,1
"going Crazy!,  They make up stories without any backup, sources or proof",1,1,1,1
need money fast,1,1,1,1
got caught red handed,1,1,1,1
got caught fudging my tape on Russia,1,1,1,1
got caught falsely pushing their phony Russian stories,1,1,1,1
nasty to Sanders supporters behind closed doors,1,1,1,1
nasty!,1,1,1,1
mic did not work,1,1,1,1
"got it wrong again, as always",1,1,1,1
my judicial appointments will do the right thing unlike... Roberts,1,1,1,1
must work on her Anger Management problem,1,1,1,1
"mean, angry, and despicable",1,1,1,1
media scum reporter,1,1,1,1
mental basketcase,1,1,1,1
go wild and scream,1,1,1,1
nasty ads,1,1,1,1
mentally deranged author,1,1,1,1
mere puppets,1,1,1,1
got himself elected as LG by falsely claiming to be ‘pro-Trump’,1,1,1,1
got fired like a dog from RedState,1,1,1,1
must work harder and be much more proactive,1,1,1,1
going Crazy,1,1,1,1
nasty & untrue book,1,1,1,1
"nasty & obnoxious will never be his father, Mike",1,1,1,1
nasty & obnoxious,1,1,1,1
got it all wrong,1,1,1,1
got duped!,1,1,1,1
merely an afterthought,1,1,1,1
going Crazy - & they don’t know what to do,1,1,1,1
